UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 19:30 ?        00:00:03 /sbin/init splash
root           2       0  0 19:30 ?        00:00:00 [kthreadd]
root           3       2  0 19:30 ?        00:00:00 [rcu_gp]
root           4       2  0 19:30 ?        00:00:00 [rcu_par_gp]
root           5       2  0 19:30 ?        00:00:00 [slub_flushwq]
root           6       2  0 19:30 ?        00:00:00 [netns]
root           8       2  0 19:30 ?        00:00:00 [kworker/0:0H-events_highpri]
root          10       2  0 19:30 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 19:30 ?        00:00:00 [rcu_tasks_rude_]
root          12       2  0 19:30 ?        00:00:00 [rcu_tasks_trace]
root          13       2  0 19:30 ?        00:00:00 [ksoftirqd/0]
root          14       2  0 19:30 ?        00:00:03 [rcu_sched]
root          15       2  0 19:30 ?        00:00:00 [migration/0]
root          16       2  0 19:30 ?        00:00:00 [idle_inject/0]
root          17       2  0 19:30 ?        00:00:01 [kworker/0:1-events]
root          18       2  0 19:30 ?        00:00:00 [cpuhp/0]
root          19       2  0 19:30 ?        00:00:00 [cpuhp/1]
root          20       2  0 19:30 ?        00:00:00 [idle_inject/1]
root          21       2  0 19:30 ?        00:00:00 [migration/1]
root          22       2  0 19:30 ?        00:00:00 [ksoftirqd/1]
root          24       2  0 19:30 ?        00:00:00 [kworker/1:0H-events_highpri]
root          25       2  0 19:30 ?        00:00:00 [cpuhp/2]
root          26       2  0 19:30 ?        00:00:00 [idle_inject/2]
root          27       2  0 19:30 ?        00:00:00 [migration/2]
root          28       2  0 19:30 ?        00:00:00 [ksoftirqd/2]
root          30       2  0 19:30 ?        00:00:00 [kworker/2:0H-events_highpri]
root          31       2  0 19:30 ?        00:00:00 [cpuhp/3]
root          32       2  0 19:30 ?        00:00:00 [idle_inject/3]
root          33       2  0 19:30 ?        00:00:00 [migration/3]
root          34       2  0 19:30 ?        00:00:00 [ksoftirqd/3]
root          36       2  0 19:30 ?        00:00:00 [kworker/3:0H-events_highpri]
root          37       2  0 19:30 ?        00:00:00 [cpuhp/4]
root          38       2  0 19:30 ?        00:00:00 [idle_inject/4]
root          39       2  0 19:30 ?        00:00:00 [migration/4]
root          40       2  0 19:30 ?        00:00:00 [ksoftirqd/4]
root          42       2  0 19:30 ?        00:00:00 [kworker/4:0H-kblockd]
root          43       2  0 19:30 ?        00:00:00 [cpuhp/5]
root          44       2  0 19:30 ?        00:00:00 [idle_inject/5]
root          45       2  0 19:30 ?        00:00:00 [migration/5]
root          46       2  0 19:30 ?        00:00:00 [ksoftirqd/5]
root          48       2  0 19:30 ?        00:00:00 [kworker/5:0H-events_highpri]
root          49       2  0 19:30 ?        00:00:00 [cpuhp/6]
root          50       2  0 19:30 ?        00:00:00 [idle_inject/6]
root          51       2  0 19:30 ?        00:00:00 [migration/6]
root          52       2  0 19:30 ?        00:00:00 [ksoftirqd/6]
root          54       2  0 19:30 ?        00:00:00 [kworker/6:0H-events_highpri]
root          55       2  0 19:30 ?        00:00:00 [cpuhp/7]
root          56       2  0 19:30 ?        00:00:00 [idle_inject/7]
root          57       2  0 19:30 ?        00:00:00 [migration/7]
root          58       2  0 19:30 ?        00:00:00 [ksoftirqd/7]
root          59       2  0 19:30 ?        00:00:00 [kworker/7:0-cgroup_destroy]
root          60       2  0 19:30 ?        00:00:00 [kworker/7:0H-events_highpri]
root          61       2  0 19:30 ?        00:00:00 [kdevtmpfs]
root          62       2  0 19:30 ?        00:00:00 [inet_frag_wq]
root          63       2  0 19:30 ?        00:00:00 [kauditd]
root          64       2  0 19:30 ?        00:00:00 [khungtaskd]
root          65       2  0 19:30 ?        00:00:00 [oom_reaper]
root          66       2  0 19:30 ?        00:00:00 [writeback]
root          67       2  0 19:30 ?        00:00:00 [kcompactd0]
root          68       2  0 19:30 ?        00:00:00 [ksmd]
root          69       2  0 19:30 ?        00:00:00 [khugepaged]
root          75       2  0 19:30 ?        00:00:00 [kworker/3:1-events]
root          78       2  0 19:30 ?        00:00:02 [kworker/5:1-events]
root         118       2  0 19:30 ?        00:00:00 [kintegrityd]
root         119       2  0 19:30 ?        00:00:00 [kblockd]
root         120       2  0 19:30 ?        00:00:00 [blkcg_punt_bio]
root         121       2  0 19:30 ?        00:00:00 [tpm_dev_wq]
root         122       2  0 19:30 ?        00:00:00 [ata_sff]
root         123       2  0 19:30 ?        00:00:00 [md]
root         124       2  0 19:30 ?        00:00:00 [edac-poller]
root         125       2  0 19:30 ?        00:00:00 [devfreq_wq]
root         126       2  0 19:30 ?        00:00:00 [watchdogd]
root         127       2  0 19:30 ?        00:00:01 [kworker/u16:1-flush-8:0]
root         128       2  0 19:30 ?        00:00:00 [kworker/0:1H-kblockd]
root         129       2  0 19:30 ?        00:00:00 [kswapd0]
root         130       2  0 19:30 ?        00:00:00 [ecryptfs-kthrea]
root         133       2  0 19:30 ?        00:00:00 [kthrotld]
root         134       2  0 19:30 ?        00:00:00 [acpi_thermal_pm]
root         136       2  0 19:30 ?        00:00:00 [vfio-irqfd-clea]
root         137       2  0 19:30 ?        00:00:00 [mld]
root         138       2  0 19:30 ?        00:00:00 [ipv6_addrconf]
root         140       2  0 19:30 ?        00:00:00 [kworker/u16:3-ext4-rsv-conversion]
root         152       2  0 19:30 ?        00:00:00 [kstrp]
root         153       2  0 19:30 ?        00:00:00 [kworker/1:1-events]
root         154       2  0 19:30 ?        00:00:00 [kworker/6:1-events]
root         157       2  0 19:30 ?        00:00:00 [zswap-shrink]
root         158       2  0 19:30 ?        00:00:00 [kworker/u17:0]
root         165       2  0 19:30 ?        00:00:00 [charger_manager]
root         187       2  0 19:30 ?        00:00:00 [kworker/2:1H-kblockd]
root         205       2  0 19:30 ?        00:00:00 [kworker/5:1H-kblockd]
root         209       2  0 19:30 ?        00:00:00 [scsi_eh_0]
root         210       2  0 19:30 ?        00:00:00 [scsi_tmf_0]
root         213       2  0 19:30 ?        00:00:00 [scsi_eh_1]
